Borough,Sector,Median Private Rent (ONS) (2019/20),House Prices (May 2020 - UKHPI),"Median annual full-time gross pay 2019, residence-based","Median house price to median earnings ratio, 2019"
Barking and Dagenham,Outer,"£1,200","£295,744","£29,454",11.0
Barnet,Outer,"£1,400","£532,503","£36,287",16.3
Bexley,Outer,"£1,100","£339,408","£36,657",11.2
Brent,Outer,"£1,450","£466,574","£31,664",15.7
Bromley,Outer,"£1,200","£420,036","£41,009",13.8
Camden,Inner,"£2,050","£862,209","£42,125",19.2
City of London,Inner,"£2,102","£899,831",,14.9
Croydon,Outer,"£1,100","£369,791","£34,890",11.1
Ealing,Outer,"£1,425","£490,596","£31,676",15.3
Enfield,Outer,"£1,250","£408,018","£32,903",14.5
Greenwich,Outer,"£1,375","£402,463","£36,015",13.8
Hackney,Inner,"£1,700","£572,410","£35,926",16.6
Hammersmith and Fulham,Inner,"£1,733","£688,761","£41,706",19.5
Haringey,Inner,"£1,500","£563,752","£35,769",17.0
Harrow,Outer,"£1,350","£449,553","£35,525",14.2
Havering,Outer,"£1,150","£367,809","£33,843",11.3
Hillingdon,Outer,"£1,200","£422,073","£31,457",11.8
Hounslow,Outer,"£1,275","£416,681","£34,559",11.3
Islington,Inner,"£1,850","£652,895","£43,533",14.6
Kensington and Chelsea,Inner,"£2,383","£1,428,516","£46,562",39.6
Kingston upon Thames,Outer,"£1,250","£480,619","£38,575",15.3
Lambeth,Inner,"£1,720","£523,127","£36,896",14.5
Lewisham,Inner,"£1,300","£423,031","£33,830",13.4
Merton,Outer,"£1,495","£513,216","£37,925",14.8
Newham,Inner,"£1,400","£376,579","£31,694",12.2
Redbridge,Outer,"£1,250","£423,193","£35,294",14.8
Richmond upon Thames,Outer,"£1,550","£664,536","£43,118",18.3
Southwark,Inner,"£1,600","£525,473","£39,183",13.9
Sutton,Outer,"£1,100","£376,155","£36,093",11.6
Tower Hamlets,Inner,"£1,700","£498,228","£42,602",10.6
Waltham Forest,Outer,"£1,300","£443,510","£34,911",14.5
Wandsworth,Inner,"£1,750","£615,207","£43,470",18.4
Westminster,Inner,"£2,492","£937,356","£44,711",21.8
